month,level_1,value
1961-01,All Items,24.542
1961-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-01,All Items Less Accommodation,na
1961-02,All Items,24.565
1961-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-02,All Items Less Accommodation,na
1961-03,All Items,24.585
1961-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-03,All Items Less Accommodation,na
1961-04,All Items,24.187
1961-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-04,All Items Less Accommodation,na
1961-05,All Items,24.053
1961-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-05,All Items Less Accommodation,na
1961-06,All Items,24.223
1961-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-06,All Items Less Accommodation,na
1961-07,All Items,24.276
1961-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-07,All Items Less Accommodation,na
1961-08,All Items,24.517
1961-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-08,All Items Less Accommodation,na
1961-09,All Items,24.393
1961-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-09,All Items Less Accommodation,na
1961-10,All Items,24.463
1961-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-10,All Items Less Accommodation,na
1961-11,All Items,24.521
1961-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-11,All Items Less Accommodation,na
1961-12,All Items,24.487
1961-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1961-12,All Items Less Accommodation,na
1962-01,All Items,24.642
1962-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-01,All Items Less Accommodation,na
1962-02,All Items,24.78
1962-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-02,All Items Less Accommodation,na
1962-03,All Items,24.425
1962-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-03,All Items Less Accommodation,na
1962-04,All Items,24.303
1962-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-04,All Items Less Accommodation,na
1962-05,All Items,24.327
1962-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-05,All Items Less Accommodation,na
1962-06,All Items,24.442
1962-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-06,All Items Less Accommodation,na
1962-07,All Items,24.499
1962-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-07,All Items Less Accommodation,na
1962-08,All Items,24.424
1962-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-08,All Items Less Accommodation,na
1962-09,All Items,24.523
1962-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-09,All Items Less Accommodation,na
1962-10,All Items,24.469
1962-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-10,All Items Less Accommodation,na
1962-11,All Items,24.627
1962-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-11,All Items Less Accommodation,na
1962-12,All Items,24.696
1962-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1962-12,All Items Less Accommodation,na
1963-01,All Items,25.17
1963-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-01,All Items Less Accommodation,na
1963-02,All Items,25.354
1963-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-02,All Items Less Accommodation,na
1963-03,All Items,24.879
1963-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-03,All Items Less Accommodation,na
1963-04,All Items,24.63
1963-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-04,All Items Less Accommodation,na
1963-05,All Items,24.756
1963-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-05,All Items Less Accommodation,na
1963-06,All Items,24.832
1963-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-06,All Items Less Accommodation,na
1963-07,All Items,24.764
1963-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-07,All Items Less Accommodation,na
1963-08,All Items,24.825
1963-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-08,All Items Less Accommodation,na
1963-09,All Items,24.934
1963-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-09,All Items Less Accommodation,na
1963-10,All Items,25.525
1963-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-10,All Items Less Accommodation,na
1963-11,All Items,25.34
1963-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-11,All Items Less Accommodation,na
1963-12,All Items,25.386
1963-12,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1963-12,All Items Less Accommodation,na
1964-01,All Items,25.541
1964-01,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-01,All Items Less Accommodation,na
1964-02,All Items,25.637
1964-02,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-02,All Items Less Accommodation,na
1964-03,All Items,25.545
1964-03,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-03,All Items Less Accommodation,na
1964-04,All Items,25.209
1964-04,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-04,All Items Less Accommodation,na
1964-05,All Items,25.213
1964-05,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-05,All Items Less Accommodation,na
1964-06,All Items,25.137
1964-06,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-06,All Items Less Accommodation,na
1964-07,All Items,25.257
1964-07,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-07,All Items Less Accommodation,na
1964-08,All Items,25.674
1964-08,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-08,All Items Less Accommodation,na
1964-09,All Items,25.606
1964-09,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-09,All Items Less Accommodation,na
1964-10,All Items,25.444
1964-10,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-10,All Items Less Accommodation,na
1964-11,All Items,25.429
1964-11,All Items Less Imputed Rentals On Owner-occupied Accommodation,na
1964-11,All Items Less Accommodation,na
1964-12,All Items,25.68
